states,dieting
Alaska,93.6
Alabama,96.73
Arkansas,99.06
Arizona,90.63
California,73.5
Colorado,83.85
Connecticut,81.5
District of Columbia,73.44
Delaware,82.24
Florida,87.38
Georgia,86.96
Hawaii,82.19
Iowa,86.69
Idaho,93.72
Illinois,79.38
Indiana,86.64
Kansas,85.13
Kentucky,93.34
Louisiana,95.79
Massachusetts,78.45
Maryland,79.42
Maine,89.06
Michigan,83.62
Minnesota,79.34
Missouri,88.82
Mississippi,100
Montana,93.4
North Carolina,87.29
North Dakota,85.86
Nebraska,87.63
New Hampshire,87.67
New Jersey,81.56
New Mexico,88.68
Nevada,83.41
New York,78.48
Ohio,86.48
Oklahoma,94.64
Oregon,78.48
Pennsylvania,83.9
Rhode Island,82.3
South Carolina,88.6
South Dakota,92.46
Tennessee,94.22
Texas,84.75
Utah,86.4
Virginia,69.31
Vermont,82.94
Washington,85.74
Wisconsin,82.37
West Virginia,98.62
Wyoming,95.36