diet,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
21 day fix diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,2.33,6.88,4.29,2.22,1.51,
Abs diet,0.54,0.79,0.68,0.79,0.55,0.42,0.32,0.31,0.23,0.18,0.11,0.08,0.06,0.05,0.04,
Acid Alkaline diet,0.11,0.16,0.13,0.14,0.15,0.19,0.20,0.20,0.28,0.26,0.25,0.34,0.36,0.33,0.37,
Anti-Inflammatory diet,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.07,0.08,0.08,0.06,0.06,0.04,0.04,0.05,
Apple Cider Vinegar Diet,0.03,0.05,0.05,0.06,0.08,0.06,0.05,0.10,0.13,0.10,0.09,0.07,0.17,0.99,0.26,
Atkins diet,8.82,2.63,2.02,2.28,1.95,1.98,2.08,2.27,2.18,2.16,1.81,1.44,1.35,1.08,1.00,
Baby Food Diet,0.00,0.01,0.00,0.01,0.01,0.01,0.11,0.07,0.04,0.03,0.03,0.03,0.02,0.02,0.02,
Beverly Hills Diet,0.05,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,
Blood type diet,0.39,0.37,0.35,0.34,0.36,0.36,0.41,0.48,0.40,0.35,0.29,0.27,0.24,0.26,0.23,
Body for Life,1.91,2.04,1.59,1.27,1.11,0.86,0.57,0.45,0.33,0.26,0.18,0.15,0.11,0.09,0.09,
Body Reset Diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.01,0.00,0.03,0.03,
Cabbage Soup Diet,0.92,0.93,0.82,1.09,0.77,0.75,0.75,0.74,0.76,0.63,0.51,0.42,0.34,0.30,0.28,
Cardiac diet,0.07,0.11,0.12,0.11,0.12,0.13,0.12,0.13,0.10,0.10,0.09,0.09,0.08,0.08,0.10,
Clean Eating,0.01,0.01,0.02,0.05,0.20,0.33,0.45,0.70,1.07,1.98,1.86,1.61,1.26,0.98,0.78,
Cookie Diet,0.02,0.09,0.16,0.33,0.47,0.54,0.33,0.17,0.06,0.04,0.03,0.02,0.02,0.02,0.02,
Crash diets,0.04,0.10,0.09,0.10,0.11,0.10,0.10,0.09,0.09,0.06,0.04,0.03,0.02,0.01,0.01,
DASH Diet,0.56,0.51,0.53,0.44,0.58,0.49,0.47,0.64,0.79,0.99,0.91,0.86,0.58,0.68,1.00,
Detox diets,3.35,4.58,5.29,6.76,8.22,7.91,7.11,8.60,9.12,11.55,12.72,12.31,12.89,12.59,13.93,
Diabetic Diets,0.17,0.16,0.16,0.16,0.13,0.08,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,
Weight Loss diet,0.31,0.32,0.36,0.34,0.30,0.37,0.34,0.37,0.40,0.42,0.47,0.44,0.46,0.44,0.46,
Dukan Diet,0.00,0.00,0.00,0.00,0.00,0.01,0.19,2.24,1.12,0.61,0.37,0.29,0.26,0.19,0.20,
Duke Diet,0.03,0.05,0.04,0.07,0.04,0.03,0.02,0.04,0.04,0.02,0.02,0.01,0.01,0.01,0.01,
Eco-Atkins Diet,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Engine 2 Diet,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.12,0.25,0.18,0.09,0.05,0.03,0.04,0.03,
fad diets,0.45,0.43,0.28,0.22,0.22,0.16,0.14,0.13,0.11,0.11,0.11,0.11,0.08,0.09,0.10,
Fast Diet,0.19,0.20,0.22,0.24,0.22,0.24,0.24,0.29,0.27,0.65,0.30,0.22,0.26,0.20,0.20,
fast metabolism diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.30,0.30,0.24,0.20,0.15,
Fertility Diet,0.01,0.01,0.01,0.04,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
Fit for Life diet,0.03,0.02,0.03,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
Flat Belly Diet,0.00,0.00,0.00,0.00,1.12,0.84,0.40,0.28,0.20,0.16,0.11,0.09,0.06,0.05,0.04,
Flexitarian Diet,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.03,
Gluten-Free Diet,0.22,0.25,0.30,0.49,0.52,0.91,0.97,1.26,1.92,1.94,1.49,0.98,0.77,0.66,0.58,
Glycemic-Index Diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grapefruit Diet,0.43,0.35,0.32,0.31,0.29,0.32,0.27,0.29,0.26,0.20,0.17,0.12,0.09,0.10,0.09,
Hacker's Diet,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,
HCG Diet,0.00,0.00,0.00,0.04,0.25,1.09,3.75,6.33,3.58,1.71,1.13,0.89,0.84,0.70,0.61,
healthy diet,0.74,0.77,0.72,0.71,0.71,0.68,0.64,0.72,0.72,0.73,0.66,0.63,0.58,0.62,0.64,
High calorie diets,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
high cholesterol diets,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
High-Protein Diets,0.08,0.08,0.07,0.07,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,
HMR Diet,0.03,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.03,0.07,0.07,0.04,0.04,
Intermittent fasting,0.01,0.00,0.01,0.02,0.04,0.06,0.07,0.16,0.58,0.85,0.73,0.81,1.00,2.17,4.90,
Jenny Craig,1.20,2.20,2.80,3.12,3.16,2.46,2.41,2.45,1.64,1.03,0.88,0.91,0.77,0.74,0.87,
Juice cleansing,0.51,0.49,0.49,0.47,0.57,0.64,0.67,1.43,2.63,4.33,3.22,1.88,1.40,1.18,1.09,
Keto Diet,0.02,0.01,0.01,0.02,0.03,0.05,0.06,0.10,0.19,0.29,0.35,0.46,1.28,5.92,19.97,
Kimkins,0.00,0.00,0.01,0.39,0.09,0.04,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
Liquid diet,0.35,0.41,0.50,0.50,0.48,0.50,0.68,0.71,0.77,0.73,0.73,0.68,0.65,0.70,0.85,
low carb diets,0.80,0.35,0.27,0.24,0.29,0.18,0.14,0.15,0.12,0.10,0.11,0.09,0.08,0.09,0.09,
Low-calorie diets,0.09,0.09,0.08,0.06,0.05,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
Low-carbohydrate diets,1.72,0.85,0.73,0.78,0.90,0.95,1.06,1.38,1.47,1.39,1.58,1.58,1.65,1.91,1.99,
Low-Cholesterol Diets,0.08,0.07,0.05,0.04,0.04,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Low-fat diets,0.15,0.13,0.09,0.08,0.06,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
Low-Protein Diets,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Low-Residue Diets,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Low-Sodium Diets,0.06,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,
Macro Diet,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.05,0.07,0.09,0.09,
Macrobiotic Diet,0.40,0.25,0.24,0.26,0.21,0.21,0.20,0.19,0.15,0.14,0.10,0.08,0.05,0.06,0.05,
Master Cleanse,0.46,0.59,1.41,2.10,2.14,2.16,1.93,1.63,1.40,1.57,0.89,0.58,0.51,0.38,0.36,
Mayo Clinic Diet,0.25,0.26,0.31,0.24,0.18,0.19,0.32,0.25,0.24,0.20,0.17,0.18,0.13,0.16,0.14,
Medifast Diet,0.04,0.06,0.16,0.19,0.15,0.22,0.20,0.10,0.09,0.08,0.05,0.04,0.03,0.02,0.02,
Mediterranean Diet,0.53,0.46,0.45,0.38,0.56,1.00,0.93,0.85,0.70,1.41,1.13,1.04,0.93,1.12,1.45,
Military diet,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.34,1.39,0.84,2.48,2.73,2.20,1.58,
MIND Diet,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.07,0.05,
Monotrophic diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
no sugar diet,0.08,0.05,0.05,0.06,0.05,0.06,0.07,0.07,0.08,0.09,0.12,0.12,0.10,0.14,0.12,
Nutrisystem diet,0.01,0.02,0.04,0.07,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,
OPTAVIA Diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.13,
Ornish Diet,0.09,0.12,0.05,0.10,0.05,0.05,0.05,0.07,0.06,0.06,0.05,0.05,0.03,0.03,0.03,
Paleo Diet,0.08,0.09,0.11,0.11,0.14,0.36,0.86,2.27,4.49,6.18,5.18,3.50,2.72,2.35,2.18,
Perricone Diet,0.14,0.17,0.09,0.05,0.05,0.05,0.03,0.03,0.05,0.02,0.02,0.01,0.01,0.01,0.01,
Raw Food Diet,0.40,0.39,0.32,0.44,0.49,0.57,0.52,0.56,0.53,0.44,0.36,0.23,0.18,0.17,0.16,
SlimFast,0.66,0.51,0.52,0.54,0.51,0.50,0.27,0.29,0.18,0.15,0.15,0.16,0.22,0.22,0.37,
South Beach Diet,18.65,8.59,5.66,4.52,3.64,2.93,2.39,1.98,1.61,1.19,0.85,0.58,0.42,0.60,0.78,
Spark Solution Diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SparkPeople,0.03,0.02,0.24,0.45,0.70,1.06,1.11,1.02,1.16,0.93,0.56,0.36,0.20,0.13,0.10,
Stillman diet,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,
Subway diet,0.12,0.10,0.06,0.05,0.06,0.05,0.04,0.04,0.04,0.04,0.02,0.04,0.01,0.02,0.01,
sugar free diet,0.02,0.03,0.02,0.03,0.03,0.03,0.04,0.04,0.06,0.05,0.08,0.08,0.07,0.07,0.06,
Supercharged Hormone Diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,
TLC Diet,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.04,0.04,0.02,0.02,0.02,
Traditional Asian Diet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
UltraMetabolism Diet,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Vegan Diet,0.25,0.26,0.33,0.31,0.33,0.44,0.52,0.75,0.83,0.78,0.83,0.83,0.88,1.14,0.96,
Vegetarian Diet,0.44,0.38,0.34,0.37,0.35,0.40,0.39,0.39,0.39,0.36,0.34,0.34,0.32,0.35,0.34,
Volumetrics,0.05,0.16,0.05,0.34,0.15,0.09,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.03,
Weight control diets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Weight Watchers,17.75,19.51,20.06,22.43,23.54,22.38,24.36,32.55,30.98,23.48,15.65,12.89,12.28,12.52,14.89,
Whole30,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.33,0.97,2.02,3.47,5.15,8.10,8.76,
Zone Diet,2.57,1.72,1.17,1.03,0.85,0.74,0.48,0.41,0.34,0.31,0.27,0.23,0.18,0.17,0.18,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,